Title	Chapters	Department	Course Title
Faulkner's The Sound and the Fury, Part IV	Chapter 1. Why Not Caddy? 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 3. Caddy in the Appendix 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 4. Omniscient Narration, Exterior and Interior 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 5. Dilsey’s Relation to Time 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 6. The Reverend Shegog 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 7. Luster’s Resurrection of Knowledge and Community 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part IV	Chapter 8. Jason’s Redemption 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	Chapter 3. Interconnections among the Novels 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	Chapter 6. Harry Mogan’s Verbal Tic, “Some” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	Chapter 7. Harry Morgan as a Type 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not	Chapter 8. Symmetries between Harry and Other “Types” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 3: Macro History of Cuba in 1930 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 4: Harry as a Political “Have Not” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 6: Harry as an Economic “Have Not” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 7: Harry’s Loss of Choice as a “Have Not” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 8: Harry as an Ironic “Have” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 9: Harry as a Mediated “Have” Through the Eyes of Marie 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 10: Harry as a Mediated “Have” Through the Eyes of Richard Gordon 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's To Have and Have Not, Part II	Chapter 11: Hemingway and Joyce’s Female Soliloquies 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 1: Individuals and Types 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 2: The Rich Boy as a Type 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 3: The Sociology of Types 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 4: Yale as a Social Marker in “The Rich Boy” 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 5: Social Profiles in “Babylon Revisited” 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 6: Social Type and Large Scale Drama in “The Diamond as Big as the Ritz” 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's Short Stories	Chapter 7: Reversion to Type and Small Scale Drama in “Bernice Bobs Her Hair” 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's As I Lay Dying		American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's As I Lay Dying	 	American Studies	Hemingway, Fitzgerald, Faulkner
